GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1017487549	20211204044500	20211204070000	1	roadsafety.co.za	https://www.roadsafety.co.za/2021-12/suspects-arrested-and-firearms-confiscated/	4	556	-1	565	1	100	1388	-8.37438423645321		
783420755	20180831053000	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	12	2796	2864	2852	1	60	3498	-1.44665461121157		
783412084	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	6	1258	1248	1304	1	40	3498	-1.44665461121157		
777360456	20180806114500	20180806114500	1	lowvelder.co.za	https://lowvelder.co.za/445368/cape-town-taxistrike-shocking-footage-images-surface-twitter/	3	535	-1	505	1	40	4279	-3.03514376996805		
778419416	20180810083000	20180810083000	1	dispatchlive.co.za	https://www.dispatchlive.co.za/news/2018-08-10-blaze-destroys-over-20-el-homes/	2	68	82	38	1	100	1605	-3.16901408450704		
783412282	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	4	829	860	841	1	100	3498	-1.44665461121157		
724358904	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9256	9307	9296	1	20	9347	1.49786019971469		
777360456	20180806114500	20180806134500	1	rekordeast.co.za	https://rekordeast.co.za/178727/cape-town-taxistrike-shocking-footage-images-surface-twitter/	2	277	-1	247	1	40	3941	-2.54237288135593		
724358905	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9256	9331	9321	0	10	9347	1.49786019971469		
750341109	20180424123000	20180424123000	1	wheels24.co.za	https://www.wheels24.co.za/News/Guides_and_Lists/red-flags-raised-about-the-aarto-bill-demerit-system-traffic-fines-and-more-20180220	14	5648	-1	5888	0	10	6207	-5.6935817805383		
732456316	20180220164500	20180220164500	1	wheels24.co.za	http://www.wheels24.co.za/News/Guides_and_Lists/red-flags-raised-about-the-aarto-bill-demerit-system-traffic-fines-and-more-20180220	14	5648	-1	5888	0	10	6207	-5.6935817805383		
724357554	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9331	9256	9321	0	10	9347	1.49786019971469		
747080270	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	8	1252	1271	1263	0	40	1361	-2.51046025104603		
783412243	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	6	1248	1258	1304	1	40	3498	-1.44665461121157		
783412242	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	6	1248	1258	1304	0	10	3498	-1.44665461121157		
983482373	20210506041500	20210506041500	1	calcuttanews.net	https://www.calcuttanews.net/news/269254218/man-arrested-in-connection-with-murder-of-cape-town-woman	16	2445	2497	2512	0	40	2848	-8.99581589958158		
777360051	20180806114500	20180806114500	1	lowvelder.co.za	https://lowvelder.co.za/445368/cape-town-taxistrike-shocking-footage-images-surface-twitter/	7	2511	2804	2717	0	20	4279	-3.03514376996805		
724357553	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9307	9256	9296	1	20	9347	1.49786019971469		
728895246	20180207130000	20180207130000	1	anc.org.za	http://www.anc.org.za/content/programme-national-officials-ahead-launch-mandela-centenary-celebrations	1	180	197	261	1	50	2934	1.86480186480186		
724357236	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9262	9307	9296	0	20	9347	1.49786019971469		
747080271	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	1	6	19	13	0	40	1361	-2.51046025104603		
747080265	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	6	826	-1	791	0	20	1361	-2.51046025104603		
724357519	20180122073000	20180122073000	1	miningweekly.com	http://www.miningweekly.com/article/government-policy-advocacy-tech-innovation-and-fact-based-talks-key-2018-ame-bc-objectives-2018-01-22	26	9307	9262	9296	0	20	9347	1.49786019971469		
747079806	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	6	-1	826	791	0	20	1361	-2.51046025104603		
728895248	20180207130000	20180207130000	1	anc.org.za	http://www.anc.org.za/content/programme-national-officials-ahead-launch-mandela-centenary-celebrations	1	180	317	261	1	50	2934	1.86480186480186		
747080263	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	6	729	-1	813	0	20	1361	-2.51046025104603		
765284139	20180619000000	20180619114500	1	netwerk24.com	https://www.netwerk24.com/ZA/Tygerburger/update-missing-girl-found-20180619	3	537	-1	544	1	100	564	1.02040816326531		
777360051	20180806114500	20180806134500	1	rekordeast.co.za	https://rekordeast.co.za/178727/cape-town-taxistrike-shocking-footage-images-surface-twitter/	6	2262	2555	2468	0	20	3941	-2.54237288135593		
908772854	20200227114500	20200227114500	1	roadsafety.co.za	https://www.roadsafety.co.za/2020-02/suspect-arrested-for-cable-theft-another-one-arrested-with-a-firearm/	5	-1	880	864	1	50	1269	-11.3861386138614		
777359842	20180806114500	20180806114500	1	lowvelder.co.za	https://lowvelder.co.za/445368/cape-town-taxistrike-shocking-footage-images-surface-twitter/	2	-1	463	405	0	60	4279	-3.03514376996805		
783412083	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	6	1258	1248	1304	0	10	3498	-1.44665461121157		
777359842	20180806114500	20180806134500	1	rekordeast.co.za	https://rekordeast.co.za/178727/cape-town-taxistrike-shocking-footage-images-surface-twitter/	1	-1	205	147	0	60	3941	-2.54237288135593		
983482105	20210506041500	20210506041500	1	calcuttanews.net	https://www.calcuttanews.net/news/269254218/man-arrested-in-connection-with-murder-of-cape-town-woman	7	691	816	736	0	60	2848	-8.99581589958158		
778419417	20180810083000	20180810083000	1	dispatchlive.co.za	https://www.dispatchlive.co.za/news/2018-08-10-blaze-destroys-over-20-el-homes/	2	68	154	173	1	100	1605	-3.16901408450704		
983405789	20210505183000	20210505221500	1	africaleader.com	https://www.africaleader.com/news/269254218/man-arrested-in-connection-with-murder-of-cape-town-woman	16	2445	2497	2512	0	40	2848	-8.99581589958158		
753707605	20180507080000	20180507080000	1	businesslive.co.za	https://www.businesslive.co.za/bd/national/2018-05-07-unions-mull-fresh-wage-offer-as-bus-strike-enters-its-fourth-week/	4	697	781	736	0	60	1916	-2.47349823321555		
962364034	20210102110000	20210102110000	1	sabcnews.com	https://www.sabcnews.com/sabcnews/firefighters-battle-blaze-in-khayelitsha/	2	179	313	224	0	20	733	-2.11267605633803		
753706788	20180507080000	20180507080000	1	businesslive.co.za	https://www.businesslive.co.za/bd/national/2018-05-07-unions-mull-fresh-wage-offer-as-bus-strike-enters-its-fourth-week/	4	781	697	736	0	60	1916	-2.47349823321555		
777360455	20180806114500	20180806134500	1	rekordeast.co.za	https://rekordeast.co.za/178727/cape-town-taxistrike-shocking-footage-images-surface-twitter/	2	277	-1	247	0	60	3941	-2.54237288135593		
750341110	20180424123000	20180424123000	1	wheels24.co.za	https://www.wheels24.co.za/News/Guides_and_Lists/red-flags-raised-about-the-aarto-bill-demerit-system-traffic-fines-and-more-20180220	14	5648	-1	5888	0	10	6207	-5.6935817805383		
753707604	20180507080000	20180507080000	1	businesslive.co.za	https://www.businesslive.co.za/bd/national/2018-05-07-unions-mull-fresh-wage-offer-as-bus-strike-enters-its-fourth-week/	4	697	-1	708	1	100	1916	-2.47349823321555		
753708190	20180507080000	20180507080000	1	businesslive.co.za	https://www.businesslive.co.za/bd/national/2018-05-07-unions-mull-fresh-wage-offer-as-bus-strike-enters-its-fourth-week/	4	828	697	736	1	40	1916	-2.47349823321555		
962364075	20210102110000	20210102110000	1	sabcnews.com	https://www.sabcnews.com/sabcnews/firefighters-battle-blaze-in-khayelitsha/	2	179	209	224	1	20	733	-2.11267605633803		
983482079	20210506041500	20210506041500	1	calcuttanews.net	https://www.calcuttanews.net/news/269254218/man-arrested-in-connection-with-murder-of-cape-town-woman	16	2433	2474	2487	0	40	2848	-8.99581589958158		
962364036	20210102110000	20210102110000	1	sabcnews.com	https://www.sabcnews.com/sabcnews/firefighters-battle-blaze-in-khayelitsha/	1	0	55	13	0	60	733	-2.11267605633803		
783413416	20180831044500	20180831054500	1	africaleader.com	https://www.africaleader.com/news/257920786/china-denies-reports-it-plans-to-set-up-base-troops-in-afghanistan	12	2796	2864	2852	0	20	3498	-1.44665461121157		
747080728	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	7	1039	1115	1046	1	100	1361	-2.51046025104603		
685928763	20170901133000	20170901133000	1	thepresidency.gov.za	http://www.thepresidency.gov.za/speeches/address-deputy-president-cyril-ramaphosa-11th-annual-competition-law,-economics-and-policy	10	5074	5185	5088	1	100	10821	-2.36826524570752		
992404239	20210628144500	20210628144500	1	thedailyvox.co.za	https://www.thedailyvox.co.za/healthcareduringapandemic-we-speak-to-three-women-to-understand-their-experiences/	14	-1	4406	4391	1	50	4645	-1.62094763092269		
983404166	20210505183000	20210505221500	1	africaleader.com	https://www.africaleader.com/news/269254218/man-arrested-in-connection-with-murder-of-cape-town-woman	15	-1	1880	1848	1	100	2848	-8.99581589958158		
633745892	20170305124500	20170305124500	1	sanews.gov.za	http://www.sanews.gov.za/south-africa/western-cape-tackles-attacks-emergency-personnel	6	2962	2988	2956	1	50	3119	-6.14203454894434		
690529408	20170918094500	20170918111500	1	ofm.co.za	https://www.ofm.co.za/article/national/250208/flames-rubber-bullets-mark-cape-town-taxistrike	5	1093	1183	1166	0	10	2497	-3.96825396825397		
747080264	20180413004500	20180413004500	1	townpress.co.za	http://townpress.co.za/live/2018/04/cele-urges-communitys-participation-in-fighting-crime/	6	743	-1	843	0	20	1361	-2.51046025104603		
632351146	20170301080000	20170301080000	1	shabellenews.com	http://www.shabellenews.com/2017/03/four-somali-shopkeepers-killed-in-south-africa/	2	159	68	88	0	20	1935	-7.80346820809249		
962363880	20210102110000	20210102110000	1	sabcnews.com	https://www.sabcnews.com/sabcnews/firefighters-battle-blaze-in-khayelitsha/	2	278	179	224	0	100	733	-2.11267605633803		
665594747	20170617001500	20170617001500	1	sabc.co.za	http://www.sabc.co.za/news/a/10e46c8041878a1daf06efbbbb0e2c33/Parties-in-W-Cape-commemorate-Youth-Day-20170616	4	622	674	651	1	50	737	1.73913043478261		
962364043	20210102110000	20210102110000	1	sabcnews.com	https://www.sabcnews.com/sabcnews/firefighters-battle-blaze-in-khayelitsha/	1	0	93	13	1	40	733	-2.11267605633803		
